"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30"
"1",0.2,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0
"3",0,0,0.600000239,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
"4",0,0,0,0.142436137,0,0.2,0,0,0,0,0,0,0,0,0.201853891,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.255709972,0
"5",0,0,0,0,0.286923636,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0.113076392,0,0,0,0
"6",0,0,0,0.190582944,0,0.204868688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293655229,0.2,0,0,0.110893139,0
"7",0,0,0.112707402,0.273583717,0,0,0.213708917,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
"8",0,0,0.265515196,0,0.353072131,0,0,0.181412673,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0.285412341,0,0,0,0,0,0,0.175400046,0.2,0,0.139187579,0,0.2,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0
"11",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0.48580957,0.31419043,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0.2,0,0,0,0,0,0,0,0.194828017,0,0,0.205171969,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0.650382749,0.349617251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0.208787153,0.138021678,0,0,0,0,0,0,0.253191169,0,0,0,0,0,0,0,0.2,0,0,0,0.2,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0.416774173,0,0,0.243512721,0,0,0,0,0.339713106,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099379009,0.187752567,0.512868424,0,0,0,0,0.2,0,0,0,0,0,0
"19",0,0,0,0,0,0,0.154115287,0,0.275397123,0,0,0,0,0,0,0,0,0,0.344574003,0,0,0,0,0,0.225913587,0,0,0,0,0
"20",0,0,0,0.003303002,0,0,0,0.216515134,0,0,0,0.12985361,0,0,0,0,0.300560306,0,0,0.349767948,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.3,0,0.3,0,0,0,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736971757,0,0,0,0,0,0,0.263028243,0
"23",0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.3,0.2,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0
"25",0,0,0,0,0.258378115,0.307361565,0,0.098235209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336025111,0,0,0,0,0
"26",0.3,0,0,0,0.2,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0
"27",0.2,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.2,0,0,0
"28",0,0,0,0,0,0,0,0,0,0.2,0.022931083,0,0,0,0,0,0.177682474,0,0,0,0,0,0,0,0,0,0,0.599386443,0,0
"29",0.4,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
"30",0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.15,0.35
